Kurs;Tag_Nr;Tag_Titel;Gruppe_Key;Gruppe_Label;Rolle;Level;Woche;Frage_Nr;Kategorie;Frage;Anzahl_Optionen;Richtige_Antworten;Schwierigkeit;Erklaerung;Quelle;Quelle_URL;Option_A;Option_B;Option_C;Option_D;Korrekte_Optionen
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;04;Daten, Change-Management & Skalierung;Ein global agierendes Unternehmen möchte Daten-Governance einführen. Welche Maßnahmen sind zielführend?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_04;;Aufgrund global unterschiedlicher Richtlinien zu Dokumentation & DSGVO kann auf Governance-Maßnahmen verzichtet werden;Definition von Rollen wie Data Steward oder Data Owner;Aufbau klarer Richtlinien für Datenzugriff und -nutzung;Regelmäßige Audits zur Sicherung von Compliance und Standards;B, C, D
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;05;Daten, Change-Management & Skalierung;Ein Unternehmen führt KI-gestützte Prozesse ein. Wie kann man mit Widerständen von Mitarbeitenden konstruktiv umgehen?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_05;;FAQs in das firmeninterne Intranet stellen;Offene Kommunikation über Chancen und Risiken;Sanktionen gegen Mitarbeitende, die regelmäßige Bedenken äußern;Einbindung der Belegschaft in Pilotprojekte und Feedbackrunden;B, D
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;06;Daten, Change-Management & Skalierung;Welche Maßnahmen gehören in einen fundierten Change-Management-Plan für die Einführung von KI?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_06;;Freiwilliges Schulungsangebot um Mitarbeitenden die Wahl zu geben, ob sie sich zu KI schulen lassen;Qualifizierungsangebote für betroffene Mitarbeitende;Klarer Verzicht auf eine Roadmap um flexibel auf Anfragen der Mitarbeitenden eingehen zu können;Klare Roadmap mit Phasen und Verantwortlichkeiten;B, D
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;07;Daten, Change-Management & Skalierung;Wie unterstützt die Führungsebene ein erfolgreiches Change-Management bei KI-Projekten?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_07;;Vollständige Delegation an die KI-Beauftragten;Vorleben einer offenen, lernorientierten Kultur;Vermeidung von Kommunikation über mehrere Hierarchieebenen hinweg;Bereitstellung von Ressourcen und aktiver Rückhalt;B, D
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;08;Daten, Change-Management & Skalierung;Welche Fehler im Change-Management gefährden die erfolgreiche Einführung von KI am meisten?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_08;;Ignorieren von Feedback und Sorgen der Mitarbeitenden;Unklare Kommunikation der Projektziele;Aufbau von Multiplikatoren im Unternehmen;Aktive Einbindung von Stakeholder:innen;A, B
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;09;Daten, Change-Management & Skalierung;Ein Unternehmen plant die Einführung von KI. Welche Elemente gehören zwingend in eine Roadmap?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_09;;Eine klare Berechnung, wie viele Arbeitsplätze durch den KI-Einsatz eingespart werden können um dem Fachkräftemangel zu begegnen;Zeitliche Meilensteine mit klaren Zielen;Verzicht auf Ressourcenplanung, um flexibel zu bleiben;Verantwortlichkeiten für jede Projektphase;B, D
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;10;Daten, Change-Management & Skalierung;Welche Kriterien sollten Unternehmen prüfen, bevor sie ein KI-Tool auswählen?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_10;;Datenschutz- und Compliance-Konformität;Benutzerfreundlichkeit und Integrationsfähigkeit;Die Beliebtheit des Tools in branchenspezifischen Foren;Verfügbarkeit von kostenlosen Testversionen als einziges Auswahlkriterium;A, B
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;11;Daten, Change-Management & Skalierung;Was für Schritte sind sinnvoll, wenn ein erfolgreiches Pilotprojekt auf das gesamte Unternehmen skaliert werden soll?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_11;;Ein Testzeitraum ohne KPI-Tracking um überhaupt erst mal herauszufinden, welche KPIs hier relevant sind;Schrittweises Vorgehen mit Pilot-Rollouts;Anpassung der Lösung an verschiedene Geschäftsbereiche;Verzicht auf Schulungsmaßnahmen, wenn Pilotprojekt erfolgreich war;B, C
KI-Beauftragter (TÜV-Fragenpool);;Daten, Change-Management & Skalierung;tuev;TÜV-Fragenpool;;;;12;Daten, Change-Management & Skalierung;Ein Unternehmen skaliert zu schnell ein KI-System und stößt auf Probleme. Welche typischen Fehler könnten hier vorliegen?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · Daten_Change-Management_Skalierung_12;;Gründliche Analyse von Risiken vor Rollout;Fehlende Abstimmung zwischen Fachabteilungen;Unzureichende Anpassung an lokale rechtliche Rahmenbedingungen;Klar definierte Eskalationswege bei Problemen;B, C
KI-Beauftragter (TÜV-Fragenpool);;ISO 42001;tuev;TÜV-Fragenpool;;;;01;ISO 42001;Welche Aussage trifft im Kern die Zielsetzung der ISO/IEC 42001?;4;1;Einfach;;KIB_Fragenpool_Juni_2026.pdf · ISO 42001_01;;Ersetzt ISO 9001 und ISO/IEC 27001 als übergeordnete Rahmennorm;Gilt ausschließlich für Anbieter:innen von Hochrisiko-KI im Sinne des EU AI Act;Etabliert Anforderungen an ein KI-Managementsystem (AIMS) nach dem PDCA-Prinzip für verantwortliche Entwicklung, Bereitstellung und Nutzung von KI;Legt verbindliche technische Mindestgenauigkeiten und Benchmarks für alle ML-Modelle branchenübergreifend fest;C
KI-Beauftragter (TÜV-Fragenpool);;ISO 42001;tuev;TÜV-Fragenpool;;;;02;ISO 42001;Welche Aktivitäten sind im Abschnitt „Planung“ eines KI-Managementsystems (AIMS) nach ISO/IEC 42001 zentral?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · ISO 42001_02;;Systematische Identifikation und Bewertung KI-spezifischer Risiken sowie Festlegung geeigneter Behandlungsmaßnahmen;Stakeholder-Analyse ist optional und nur bei externen Nutzergruppen relevant;Ableitung messbarer Ziele für das AIMS und Planung von Maßnahmen, Verantwortlichkeiten und Ressourcen zu deren Erreichung;Priorisierung ausschließlich finanzieller KPIs, ethische Aspekte werden außerhalb des AIMS in freiwilligen Kodizes behandelt;A, C
KI-Beauftragter (TÜV-Fragenpool);;ISO 42001;tuev;TÜV-Fragenpool;;;;03;ISO 42001;Welche Arten von Dokumentation fordert die ISO/IEC 42001 für ein wirksames KI-Managementsystem (AIMS)?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · ISO 42001_03;;Nachweise über Kompetenzentwicklung, Schulungen und Awareness-Maßnahmen im Zusammenhang mit KI;Eine formale KI-Policy, die Ziele, Prinzipien und Verantwortlichkeiten im Umgang mit KI festlegt;Protokollierte Ergebnisse von Verifikation, Validierung und Monitoring eingesetzter KI-Systeme;Vollständige Aufzeichnung sämtlicher Unternehmensentscheidungen unabhängig vom Bezug zu KI-Systemen;A, B, C
KI-Beauftragter (TÜV-Fragenpool);;ISO 42001;tuev;TÜV-Fragenpool;;;;04;ISO 42001;Welche Verantwortlichkeiten hat die oberste Leitung im Rahmen der ISO/IEC 42001?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · ISO 42001_04;;Sicherstellung ausreichender Ressourcen für das AIMS;Verabschiedung und Kommunikation einer unternehmensweiten KI-Policy;Definition klarer Rollen, Verantwortlichkeiten und Kommunikationswege;Delegation von wichtigen Governance-Aufgaben an externe Auditoren;A, B, C
KI-Beauftragter (TÜV-Fragenpool);;ISO 42001;tuev;TÜV-Fragenpool;;;;05;ISO 42001;Welche Vorgehensweisen beschreibt die ISO/IEC 42001 im Zusammenhang mit Risiko- und Impact-Assessments für KI-Systeme?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · ISO 42001_05;;Dokumentation der Ergebnisse in nachvollziehbarer Form, sodass diese regelmäßig in Management-Reviews und bei Audits berücksichtigt werden können;Ausschluss ethischer Risiken aus der Betrachtung, da diese nicht messbar und daher für ein AIMS irrelevant sind;Durchführung strukturierter Bewertungen, um mögliche Auswirkungen von KI-Systemen auf betroffene Personen, Geschäftsprozesse und rechtliche Anforderungen zu identifizieren;Fokussierung auf kurzfristige wirtschaftliche Vorteile, da diese im Standard als vorrangiges, risikoarmes Kriterium genannt werden;A, C
KI-Beauftragter (TÜV-Fragenpool);;EU AI Act;tuev;TÜV-Fragenpool;;;;01;EU AI Act;Wann ist für Anbieter:innen eines Hochrisiko-KI-Systems, das in Anhang III aufgeführt ist (eigenständiges KI-System), die zwingende Beteiligung einer notifizierten Stelle (Konformitätsbewertungsverfahren gemäß Anhang VII) vorgeschrieben?;4;1;Einfach;;KIB_Fragenpool_Juni_2026.pdf · EU AI Act_01;;Wenn das KI-System in einem der Bereiche gemäß Anhang III Nummern 2 bis 8 (z. B. Beschäftigung oder Kritische Infrastruktur) eingesetzt wird.;Wenn das KI-System in Anhang III Nummer 1 (Biometrie) aufgeführt ist und die Anbieter:innen weder harmonisierte Normen noch gemeinsame Spezifikationen vollständig angewandt haben.;Wenn das KI-System eine wesentliche Veränderung erfährt, nachdem es bereits in Verkehr gebracht wurde, unabhängig von seiner ursprünglichen Einstufung.;Wenn das KI-System dazu bestimmt ist, in einem Verfahren eine eng gefasste Verfahrensaufgabe zu erfüllen.;B
KI-Beauftragter (TÜV-Fragenpool);;EU AI Act;tuev;TÜV-Fragenpool;;;;02;EU AI Act;Welche der folgenden Aussagen zur Dokumentations- und Überwachungspflicht der Anbieter:innen von Hochrisiko-KI-Systemen sind nach dem AI Act zutreffend?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · EU AI Act_02;;Kleinste Unternehmen (Kleinstunternehmen) und KMU können ein vereinfachtes Formular für die technische Dokumentation verwenden, um den Verwaltungsaufwand zu minimieren.;Das System zur Beobachtung nach dem Inverkehrbringen muss auch sensible operative Daten von Betreiber:innen von KI-Systemen, die Strafverfolgungsbehörden sind, erfassen und analysieren.;Die technische Dokumentation muss vor dem Inverkehrbringen erstellt und regelmäßig aktualisiert werden, wobei ihr Inhalt mindestens die in Anhang IV genannten Informationen umfassen muss.;Die automatisch erzeugten Protokolle (Logs) müssen, soweit sie der Kontrolle der Anbieter:innen unterliegen, für einen Zeitraum von mindestens zehn Jahren aufbewahrt werden.;A, C
KI-Beauftragter (TÜV-Fragenpool);;EU AI Act;tuev;TÜV-Fragenpool;;;;03;EU AI Act;Welche der folgenden KI-Praktiken sind gemäß dem AI Act grundsätzlich verboten?;4;3;Komplex;;KIB_Fragenpool_Juni_2026.pdf · EU AI Act_03;;Das Inverkehrbringen eines KI-Systems zur biometrischen Kategorisierung, das anhand der biometrischen Daten einer natürlichen Person auf deren Gewerkschaftszugehörigkeit schließen oder diese ableiten soll.;KI-Systeme, die soziale Bewertung (Social Scoring) natürlicher Personen oder Personengruppen bereitstellen und zu einer Schlechterstellung in sozialen Kontexten führen, die in keinem Zusammenhang zu den Umständen der Datenerhebung stehen.;Die gezielte Suche nach bestimmten Opfern von Menschenhandel mithilfe biometrischer Echtzeit-Fernidentifizierungssysteme in öffentlich zugänglichen Räumen, sofern dies die strengen Genehmigungsvoraussetzungen erfüllt.;KI-Systeme, die darauf abzielen, das Verhalten einer Person maßgeblich nachteilig zu beeinflussen, indem sie unterschwellige oder manipulativere Techniken einsetzen, um erhebliche Schäden zu verursachen.;A, B, D
KI-Beauftragter (TÜV-Fragenpool);;EU AI Act;tuev;TÜV-Fragenpool;;;;04;EU AI Act;Ein:e Akteur:in in der KI-Wertschöpfungskette (Händler:in, Einführer:in oder Betreiber:in) wird im Sinne des AI Act als Anbieter:in betrachtet und muss dessen Pflichten übernehmen, wenn diese:r eine der folgenden Handlungen vornimmt:;4;1;Einfach;;KIB_Fragenpool_Juni_2026.pdf · EU AI Act_04;;Ein:e Akteur:in führt als Einführer:in vor der Bereitstellung auf dem Markt die Überprüfung der Konformität des Systems mit der CE-Kennzeichnung durch.;Ein:e Akteur:in entwickelt ein KI-Modell mit allgemeinem Verwendungszweck (GPAI) und stellt es in der Union in Verkehr.;Ein:e Akteur:in nimmt eine wesentliche Veränderung an einem Hochrisiko-KI-System vor, das bereits in Verkehr gebracht oder in Betrieb genommen wurde, sodass es weiterhin ein Hochrisiko-KI-System bleibt.;Ein:e Akteur:in führt als Betreiber:in eine Grundrechte-Folgenabschätzung durch, bevor diese:r ein Hochrisiko-KI-System in Betrieb nimmt.;C
KI-Beauftragter (TÜV-Fragenpool);;EU AI Act;tuev;TÜV-Fragenpool;;;;05;EU AI Act;Welche der folgenden Pflichten gelten für Anbieter:innen von KI-Modellen mit allgemeinem Verwendungszweck (GPAI) gemäß den Bestimmungen über Transparenz und systemische Risiken?;4;2;Mittel;;KIB_Fragenpool_Juni_2026.pdf · EU AI Act_05;;Erreicht das Modell den Schwellenwert von 10²⁵ Gleitkommaoperationen, wird es automatisch und unwiderruflich als Modell mit systemischem Risiko eingestuft, eine Widerlegung dieser Vermutung durch die Anbieter:innen ist gesetzlich ausgeschlossen.;Die technische Dokumentation muss mindestens die Architektur, die Anzahl der Parameter und die Modalitäten des Modells enthalten, sofern dies im Hinblick auf Größe und Risikoprofil angemessen ist.;Sie müssen eine Strategie zur Einhaltung des Unions-Urheberrechts einführen, insbesondere zur Beachtung geltend gemachter Rechtsvorbehalte nach der Richtlinie (EU) 2019/790.;Anbieter:innen von KI-Modellen, die unter freie und quelloffene Lizenzen fallen, sind von allen in Artikel 53 festgelegten Transparenz- und Dokumentationspflichten befreit.;B, C
